2012-08-19 22:47:43,501 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:43.412974+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:43.412974+00:00')
2012-08-19 22:48:08,258 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."email" = 'pedro@ad.ad' ; args=(u'pedro@ad.ad',)
2012-08-19 22:48:08,261 [DEBUG] django.db.backends: (0.001) SELECT (1) AS "a" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "auth_user"."id" = 2521 ) LIMIT 1; args=(18, 2521)
2012-08-19 22:48:08,354 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox_users"."user_id" FROM "inbox_inbox_users" WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "inbox_inbox_users"."user_id" IN (2521)); args=(18, 2521)
2012-08-19 22:48:08,356 [DEBUG] django.db.backends: (0.001) INSERT INTO "inbox_inbox_users" ("inbox_id", "user_id") VALUES (18, 2521); args=(18, 2521)
2012-08-19 22:48:08,380 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox_users"."user_id" FROM "inbox_inbox_users" WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "inbox_inbox_users"."user_id" IN (2521)); args=(18, 2521)
2012-08-19 22:48:08,684 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox_users"."user_id" FROM "inbox_inbox_users" WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "inbox_inbox_users"."user_id" IN (2521)); args=(18, 2521)
2012-08-19 22:48:08,698 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:08.689900+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:08.689900+00:00')
2012-08-19 22:48:08,700 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:08,702 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:08,705 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inboxsettings"."id", "inbox_inboxsettings"."inbox_id", "inbox_inboxsettings"."mask", "inbox_forwardrule"."inboxsettings_ptr_id", "inbox_forwardrule"."email_to" FROM "inbox_forwardrule" INNER JOIN "inbox_inboxsettings" ON ("inbox_forwardrule"."inboxsettings_ptr_id" = "inbox_inboxsettings"."id") WHERE "inbox_inboxsettings"."inbox_id" = 18  ORDER BY "inbox_forwardrule"."inboxsettings_ptr_id" ASC; args=(18,)
2012-08-19 22:48:08,710 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:48:23,136 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:23.125274+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:23.125274+00:00')
2012-08-19 22:48:23,138 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:23,238 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:23.227426+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:23.227426+00:00')
2012-08-19 22:48:23,241 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:23,249 [DEBUG] django.db.backends: (0.003) SELECT "inbox_mail"."inbox_id" FROM "inbox_mail" WHERE ("inbox_mail"."inbox_id" IN (SELECT U0."id" FROM "inbox_inbox" U0 INNER JOIN "inbox_inbox_users" U1 ON (U0."id" = U1."inbox_id") WHERE U1."user_id" = 2511 ) AND NOT ("inbox_mail"."id" IN (SELECT U1."mail_id" FROM "inbox_mail_readers" U1 WHERE (U1."user_id" = 2511  AND U1."mail_id" IS NOT NULL)))); args=(2511, 2511)
2012-08-19 22:48:23,252 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_inbox"."slug" ASC; args=(2511,)
2012-08-19 22:48:23,254 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "inbox_mail" WHERE "inbox_mail"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:48:23,257 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:48:23,298 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:23.287542+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:23.287542+00:00')
2012-08-19 22:48:23,301 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:23,308 [DEBUG] django.db.backends: (0.004) SELECT "inbox_mail"."id", "inbox_mail"."inbox_id", "inbox_mail"."peer", "inbox_mail"."from_email", "inbox_mail"."to_email", "inbox_mail"."bcc", "inbox_mail"."cc", "inbox_mail"."raw", "inbox_mail"."subject", "inbox_mail"."uuid", "inbox_mail"."date", "inbox_mail"."content_types" FROM "inbox_mail" INNER JOIN "inbox_inbox" ON ("inbox_mail"."inbox_id" = "inbox_inbox"."id") INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_mail"."date" DESC LIMIT 50; args=(2511,)
2012-08-19 22:48:26,180 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:26.169519+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:26.169519+00:00')
2012-08-19 22:48:26,183 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:26,188 [DEBUG] django.db.backends: (0.002) SELECT (1) AS "a" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  LIMIT 1; args=(2511,)
2012-08-19 22:48:26,190 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_inbox"."slug" ASC; args=(2511,)
2012-08-19 22:48:28,458 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:28.447932+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:28.447932+00:00')
2012-08-19 22:48:28,461 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:28,463 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:28,466 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inboxsettings"."id", "inbox_inboxsettings"."inbox_id", "inbox_inboxsettings"."mask", "inbox_forwardrule"."inboxsettings_ptr_id", "inbox_forwardrule"."email_to" FROM "inbox_forwardrule" INNER JOIN "inbox_inboxsettings" ON ("inbox_forwardrule"."inboxsettings_ptr_id" = "inbox_inboxsettings"."id") WHERE "inbox_inboxsettings"."inbox_id" = 18  ORDER BY "inbox_forwardrule"."inboxsettings_ptr_id" ASC; args=(18,)
2012-08-19 22:48:28,472 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
